year,ssp119,ssp126,ssp245,ssp370,ssp585
2020,1152.23,1187.51,1228.36,1217.98,1203.25
2021,1122.53,1174.24,1186.16,1205.73,1222.27
2022,1142.25,1197.01,1185.27,1168.73,1194.87
2023,1095.06,1194.6,1224.53,1210.7,1186.7
2024,1121.07,1194.29,1174.88,1179.82,1198.34
2025,1018.47,1177.81,1173.75,1240.79,1202.52
2026,1122.55,1134.76,1216.39,1218.12,1194.7
2027,1179.42,1153.38,1237.77,1229.67,1193.37
2028,1244.11,1190.47,1222.32,1196.87,1220.29
2029,1164.1,1155.83,1193.57,1212.9,1153.01
2030,1126.21,1156.15,1202.37,1214.49,1177.04
2031,1159.07,1182.25,1216.48,1190.93,1184.96
2032,1164.3,1170.49,1194.93,1193.21,1179.39
2033,1140.41,1195.67,1223.65,1185.8,1185.02
2034,1068.24,1144.39,1231.73,1205.01,1174.48
2035,1098.01,1170.96,1173.7,1170.68,1243.44
2036,1136.98,1214.66,1190.75,1239.15,1244.19
2037,1175.42,1235.67,1232.5,1218.42,1226.02
2038,1179.53,1168.9,1204.39,1201.46,1198.21
2039,1199.21,1214.49,1206.78,1191.15,1231.83
2040,1140.88,1221.07,1193.45,1233.97,1211.82
2041,1084,1184.6,1201.7,1201.9,1202.04
2042,1117.77,1163.26,1216.89,1256.84,1214.43
2043,1159.48,1186.03,1165.41,1240.82,1206.76
2044,1172.66,1166.16,1198.2,1239.15,1230.43
2045,1154.26,1171.24,1204.18,1174.41,1212.85
2046,1057.47,1200.24,1151.83,1224.9,1243.71
2047,1184.46,1170.22,1173.88,1195.53,1223.74
2048,1153.71,1219.75,1203.74,1227.88,1243.41
2049,1204.11,1190.54,1223.88,1204.76,1193.48
2050,1190.83,1144.14,1166.44,1227.04,1247.29
2051,1070.73,1189.4,1229.02,1220.16,1231.36
2052,1160.2,1167.91,1185.42,1243.51,1212.98
2053,1139.18,1185.87,1205.82,1261.38,1219.82
2054,1163.86,1137.12,1224.81,1254.47,1245.68
2055,1133.21,1182.17,1182.38,1234.58,1267.54
2056,1068.66,1163.76,1186.13,1243.72,1161.41
2057,1153.27,1159.44,1190.68,1194.4,1214.26
2058,1190.24,1170.05,1208.34,1164.47,1236.75
2059,1113.28,1204.56,1138.36,1195.21,1208.05
2060,1169.41,1135.54,1184.22,1225.69,1202.28
2061,1154.25,1154.56,1211.81,1184.38,1239.69
2062,1072.56,1122.51,1193.54,1208.42,1219.2
2063,1040.05,1155,1205.4,1201.93,1179.07
2064,1093.88,1149.18,1168.54,1192.38,1210.79
2065,1070.46,1185.07,1194.79,1199.83,1202.96
2066,1106.47,1172.33,1210.72,1209.57,1227.21
2067,1146.23,1164.72,1175.89,1201.98,1227.19
2068,1111.04,1154.79,1179.25,1228.53,1248.66
2069,1101.04,1200.22,1211.78,1246.23,1246.56
2070,1112.84,1179.79,1193.4,1222.26,1213.75
2071,1157.04,1180.23,1148.47,1210.81,1233.99
2072,1150.84,1193.8,1217.36,1251.03,1271.06
2073,1112.73,1199.95,1226.95,1187.45,1236.23
2074,1094.84,1213.48,1184.87,1222.15,1223.48
2075,1087.17,1158.97,1209.93,1236.85,1246.49
2076,1070.87,1165.43,1194.51,1223.73,1177.6
2077,1100.23,1179.65,1178.01,1227.35,1228.63
2078,1178.59,1123.67,1184.81,1231.43,1227.98
2079,1085.74,1206.05,1186.24,1235.45,1233.6
2080,1158.06,1150.98,1212.54,1176.29,1204.63
2081,1172.59,1191.58,1205.38,1202.66,1225.8
2082,1149.56,1188.66,1207.57,1237.43,1246.9
2083,1108.84,1172.3,1128.94,1266.66,1239.09
2084,1095.57,1178.46,1193.95,1203.67,1236.59
2085,1099.92,1174,1182.39,1281.36,1194.44
2086,1106.57,1132.19,1196.07,1264.23,1259.58
2087,1090.16,1157.9,1188.45,1230.58,1256.66
2088,1067.81,1206.86,1187.13,1227.13,1261.81
2089,1071.7,1214.41,1201.85,1256.82,1310.1
2090,1067.81,1141.43,1169.98,1247.26,1238.14
2091,1126.27,1163.67,1191.86,1191.22,1271.56
2092,1200.78,1185.72,1232.46,1210.89,1227.92
2093,1126.37,1148.27,1225.55,1259.38,1266.96
2094,1139.44,1156.23,1170.56,1205.9,1306.33
2095,1139.58,1138.27,1201.9,1263.25,1235.91
2096,1153.62,1139.92,1121.12,1252.07,1278.48
2097,1143.12,1209.62,1202.29,1245.96,1235.1
2098,1164.45,1156.73,1244.99,1265.71,1271.41
2099,1085.95,1149.78,1221.83,1290.77,1234.69
2100,1118.86,1191.21,1208.75,1242.91,1284.79
