year,rcp26,rcp45,rcp85
2020,0.08653802,0.093754426,0.09025651
2021,0.10307522,0.09258166,0.0918227
2022,0.10581455,0.09275012,0.1045004
2023,0.111973904,0.100858614,0.113443546
2024,0.100194305,0.11058347,0.11013308
2025,0.10740304,0.11514737,0.11642009
2026,0.12820733,0.12453038,0.13253915
2027,0.13550965,0.12184344,0.13237867
2028,0.1322768,0.124547556,0.13683227
2029,0.14253515,0.1288445,0.14178863
2030,0.1467722,0.13455568,0.14329804
2031,0.14840296,0.14190336,0.14568071
2032,0.1579019,0.14839126,0.15638466
2033,0.15870002,0.15736008,0.15919565
2034,0.15457985,0.15466264,0.16629776
2035,0.15505943,0.16457057,0.17511177
2036,0.16277999,0.16086802,0.1798814
2037,0.16806637,0.17051993,0.17873922
2038,0.1849866,0.16268632,0.19051328
2039,0.18621574,0.17380898,0.19057918
2040,0.20635447,0.18481998,0.19079885
2041,0.20317668,0.19850832,0.19746248
2042,0.21140137,0.20592302,0.21100186
2043,0.20076735,0.20797613,0.21726066
2044,0.20805836,0.21226254,0.22347465
2045,0.21324074,0.21970285,0.23183689
2046,0.21981262,0.21790846,0.24336925
2047,0.23057552,0.2247766,0.24461088
2048,0.2367194,0.233912,0.2542326
2049,0.24174114,0.23698458,0.26146823
2050,0.24956262,0.24508019,0.26582053
2051,0.24770403,0.24354649,0.27526236
2052,0.25818807,0.25308833,0.28077385
2053,0.25408906,0.2628489,0.29436755
2054,0.2666814,0.25893283,0.2893361
2055,0.26128894,0.2697292,0.3086502
2056,0.27136797,0.27508962,0.32570836
2057,0.27895185,0.28095958,0.32516676
2058,0.27499944,0.29319596,0.32573074
2059,0.2851662,0.2925368,0.33819306
2060,0.29842532,0.3051515,0.3474322
2061,0.30125272,0.30967087,0.3532977
2062,0.3054486,0.31534046,0.35903832
2063,0.30194274,0.3148888,0.3765558
2064,0.31294417,0.32364547,0.37874007
2065,0.31283176,0.33053058,0.37947124
2066,0.3187815,0.33786523,0.40016133
2067,0.32066563,0.34513575,0.39799973
2068,0.32800722,0.35386977,0.40781772
2069,0.33564663,0.36445087,0.4101814
2070,0.33629227,0.3674569,0.43904522
2071,0.33750898,0.37482044,0.44050756
2072,0.33856052,0.3781398,0.44568634
2073,0.352281,0.38043213,0.45960307
2074,0.3499357,0.39091557,0.46876836
2075,0.35997367,0.38593525,0.4653791
2076,0.38084924,0.39568925,0.47207156
2077,0.37916905,0.403063,0.49404234
2078,0.3692795,0.40795267,0.5083378
2079,0.36397913,0.4261133,0.51360714
2080,0.38240293,0.42837676,0.5201373
2081,0.38291943,0.43306166,0.54430157
2082,0.3892581,0.43275857,0.54857457
2083,0.3995921,0.44685593,0.5538758
2084,0.395267,0.44738802,0.57147217
2085,0.40185833,0.4510697,0.5652068
2086,0.41384012,0.46119416,0.57991576
2087,0.40505973,0.476462,0.5934739
2088,0.4153177,0.4841144,0.6068561
2089,0.43428123,0.49551183,0.61780393
2090,0.4261896,0.4941799,0.635996
2091,0.42765692,0.5117252,0.6546765
2092,0.4327444,0.50728047,0.65933466
2093,0.43126065,0.5020135,0.67028236
2094,0.44223392,0.50139076,0.66716534
2095,0.44234014,0.5232823,0.6831784
2096,0.44710952,0.5299376,0.7013472
2097,0.46058345,0.52502143,0.7143643
2098,0.46715987,0.5256418,0.7150955
2099,0.46406496,0.5372679,0.7234978
