Variable:,tas,Location:,Iceland
,SSP119,SSP585,
2015,2.85,2.73,
2016,2.87,2.74,
2017,2.96,2.65,
2018,2.97,2.3,
2019,2.7,2.88,
2020,2.98,2.87,
2021,2.99,2.55,
2022,2.97,2.88,
2023,3.04,2.94,
2024,3.25,2.88,
2025,2.81,3.05,
2026,2.77,3.03,
2027,3.06,3.06,
2028,3.03,3.06,
2029,2.96,3.31,
2030,2.67,3.27,
2031,3.19,3.2,
2032,3.07,3.15,
2033,2.98,3.15,
2034,2.72,3.53,
2035,3.14,3.35,
2036,2.77,3.23,
2037,3.23,3.57,
2038,3.01,3.45,
2039,2.74,3.58,
2040,2.64,3.51,
2041,3.05,3.41,
2042,2.68,3.24,
2043,3.3,3.49,
2044,3.14,3.87,
2045,3.36,3.6,
2046,3.14,3.88,
2047,3.28,4.28,
2048,3.37,4.16,
2049,3.18,4.06,
2050,2.87,4.24,
2051,2.93,4.26,
2052,3.2,4.52,
2053,2.99,4.29,
2054,3.09,4.29,
2055,3.12,4.64,
2056,2.83,4.46,
2057,3.39,4.6,
2058,3.11,4.24,
2059,3.24,4.63,
2060,3.28,4.64,
2061,3.26,4.57,
2062,3.09,4.81,
2063,3.22,4.88,
2064,2.91,4.62,
2065,2.88,4.68,
2066,3.32,5.03,
2067,2.92,5.08,
2068,3.33,4.99,
2069,2.35,5.26,
2070,2.9,5.09,
2071,2.44,5.34,
2072,3.17,5.3,
2073,2.89,5.21,
2074,2.66,5.6,
2075,3.17,5.62,
2076,2.91,5.48,
2077,3.05,5.38,
2078,3.35,5.45,
2079,3,5.36,
2080,3.01,5.48,
2081,3.22,5.49,
2082,3.48,5.81,
2083,3.06,5.44,
2084,3.02,5.62,
2085,3.08,6.06,
2086,2.83,5.69,
2087,3.14,5.58,
2088,2.88,5.59,
2089,2.92,5.98,
2090,3.19,6.01,
2091,3.23,6.12,
2092,3.37,6.04,
2093,3.3,6.16,
2094,3.55,6.44,
2095,3.25,6.47,
2096,3.43,6.4,
2097,2.9,6.67,
2098,2.75,6.28,
2099,2.66,6.68,
2100,3.26,6.96,
